source_line,method,uri,route_name,surface,inventory_kind,review_status,action,middleware
280,GET|HEAD,admin/growth/segments/create,admin.growth.segments.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@createSegment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
282,GET|HEAD,admin/growth/segments/{segment}/edit,admin.growth.segments.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@editSegment,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
274,GET|HEAD,admin/growth/templates/create,admin.growth.templates.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@createTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
276,GET|HEAD,admin/growth/templates/{template}/edit,admin.growth.templates.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\GrowthController@editTemplate,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:growth.manage
489,GET|HEAD,admin/imports,admin.imports.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\ImportController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:imports.manage
410,GET|HEAD,admin/inventory,admin.inventory.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\InventoryController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
413,GET|HEAD,admin/inventory/adjust,admin.inventory.adjust,Admin,page candidate,OPEN,App\Http\Controllers\Admin\InventoryController@adjustForm,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
412,GET|HEAD,admin/inventory/labels/{product},admin.inventory.labels,Admin,page candidate,OPEN,App\Http\Controllers\Admin\InventoryController@labelPrint,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
411,GET|HEAD,admin/inventory/scan,admin.inventory.scan,Admin,page candidate,OPEN,App\Http\Controllers\Admin\InventoryController@scanForm,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:inventory.manage
614,GET|HEAD,admin/notifications,admin.notifications.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\NotificationController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:notifications.view
328,GET|HEAD,admin/orders,admin.orders.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\OrderController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
329,GET|HEAD,admin/orders/{order},admin.orders.show,Admin,page candidate,OPEN,App\Http\Controllers\Admin\OrderController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
330,GET|HEAD,admin/orders/{order}/receipt,admin.orders.receipt,Admin,page candidate,OPEN,App\Http\Controllers\Admin\OrderController@receipt,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:orders.view
512,GET|HEAD,admin/payments,admin.payments.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PaymentController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:payments.view
513,GET|HEAD,admin/payments/{payment},admin.payments.show,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PaymentController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:payments.view
620,GET|HEAD,admin/permissions,admin.permissions.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PermissionController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:permissions.manage
353,GET|HEAD,admin/pos,admin.pos.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PosController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
355,GET|HEAD,admin/pos/lookups/customers,admin.pos.lookups.customers,Admin,supporting flow,OPEN,App\Http\Controllers\Admin\PosController@customerLookup,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
354,GET|HEAD,admin/pos/lookups/products,admin.pos.lookups.products,Admin,supporting flow,OPEN,App\Http\Controllers\Admin\PosController@productLookup,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:pos.manage
